Nvel 5,vegetation_type,pavement_type,building_type,water_type,soil_type 
1,,,3,,
2,3,,,,3
3,1,,,,1
4,1,,,,1
5,,,,,1
6,1,,,,1
10,1,,,,1
11,,,,2,
12,1,,,,1
13,1,,,,1
14,1,,,,1
15,3,,,,6
16,1,,,,1
20,,,,1,
21,,,,2,
22,,,,2,
30,2,,,,6
31,11,,,,6
32,11,,,,6
33,11,,,,6
40,3,,,,6
41,3,,,,6
43,8,,,,6
44,3,,,,1
45,14,,,,6
46,16,,,,6
47,8,,,,6
50,3,,,,6
51,8,,,,6
52,8,,,,6
53,8,,,,6
54,7,,,,6
55,15,,,,6
56,15,,,,6
57,8,,,,6
58,8,,,,6
60,18,,,,6
61,18,,,,6
62,17,,,,6
63,17,,,,6
64,17,,,,6
65,4,,,,6
66,4,,,,6
67,17,,,,6
68,5,,,,6
69,6,,,,6
70,14,,,,6
71,7,,,,6
-9999,,,,2
