vegetation_type;r_c_min;LAI;c_veg;gD;z0_vegetation;z0h_vegetion;lambda_s;lambda_u;f_sw_in;c_surface;albedo_type;emissivity;canopy_height;alpha_lad;beta_lad;description 
1;0;0;0;0;0.005;5.00E-05;0;0;0;0;17;0.94;0;0;0;bare soil (no vegetation) 
2;180;3;1;0;0.1;0.0001;10;10;0.05;0;2;0.95;1;2;3;crops mixed farming 
3;110;2;1;0;0.03;3.00E-05;10;10;0.05;0;2;0.95;0.2;1;3;short grass 
4;500;5;1;0.03;2;2;20;15;0.03;0;5;0.97;20;4;3;evergreen needleleaf trees 
5;500;5;1;0.03;2;2;20;15;0.03;0;6;0.97;20;2;3;deciduous needleleaf trees 
6;175;5;1;0.03;2;2;20;15;0.03;0;8;0.97;5;3;3;evergreen broadleaf trees 
7;240;6;0.99;0.13;2;2;20;15;0.03;0;9;0.97;10;2;3;deciduous broadleaf trees 
8;100;2;0.7;0;0.47;4.70E-03;10;10;0.05;0;8;0.97;0.5;1.5;3;tall grass 
9;250;0.05;0;0;0.013;1.30E-04;15;15;0;0;3;0.94;0;0;0;desert 
10;80;1;0.5;0;0.034;3.40E-04;10;10;0.05;0;11;0.97;0.2;3;3;tundra 
11;180;3;1;0;0.5;5.00E-03;10;10;0.05;0;13;0.97;0.5;3;3;irrigated crops 
12;150;0.5;0.1;0;0.17;1.70E-03;10;10;0.05;0;2;0.97;0.3;3;3;semidesert 
13;0;0;0;0;1.30E-03;1.30E-04;58;58;0;0;11;0.97;0;0;0;ice caps and glaciers 
14;240;4;0.6;0;0.83;8.30E-03;10;10;0.05;0;4;0.97;0.3;2;3;bogs and marshes 
15;225;3;0.5;0;0.1;1.00E-03;10;10;0.05;0;4;0.97;1;2;3;evergreen shrubs 
16;225;1.5;0.5;0;0.25;2.50E-03;10;10;0.05;0;4;0.97;1;3;3;deciduous shrubs 
17;250;5;1;0.03;2;2.00E-02;20;15;0.03;0;7;0.97;20;7;3;mixed forest / woodland 
18;175;2.5;1;0.03;1.1;1.10E-02;20;15;0.03;0;8;0.97;20;7;3;interrupted forest 
